Sample Length,Sample Diameter,Sample Volume,Dry Weight,Particle Volume,Pore Volume,Porosity,Particle Density,Volumetric Density,Permeability,Location,BI Vol.,Bioturbation Index
2.146,2.528,10.766,26.84,10.06,0.7015,6.5122,2.49,2.67,0.016,Burrow ,96,5
4.246,2.526,21.267,53.86,20.52,0.7446,3.4995,2.53,2.62,0.0156,Burrow ,4,1
2.394,2.524,11.972,30.28,11.52,0.4557,3.8041,2.53,2.63,0.035,Burrow,100,6
2.384,2.538,12.055,30.57,11.12,0.9343,7.7463,2.54,2.75,0.0246,Burrow,96,5
4.142,2.536,20.911,52.22,19.28,1.6342,7.8109,2.5,2.71,0.0241,Matrix,0,0
1.946,2.532,9.794,24.35,8.8,0.9977,10.1828,2.49,2.77,0.0123,Burrow,60,3
2.218,2.518,11.039,28.07,10.15,0.8923,8.0784,2.54,2.77,0.0282,Burrow,90,4
4.14,2.528,20.769,52.71,19.47,1.2974,6.2435,2.54,2.71,0.0214,Burrow,96,5
2.446,2.534,12.329,30.76,11.71,0.6172,5.0032,2.49,2.63,0.0347,Burrow,30,2
2.206,2.528,11.067,27.61,10.52,0.5508,4.974,2.49,2.63,0.036,Burrow,100,6
4.24,2.534,21.372,54.41,19.96,1.4081,6.5851,2.55,2.73,0.021,Burrow,90,4
2.1,2.528,10.535,26.11,9.56,0.9717,9.219,2.48,2.73,0.0358,Burrow,55,3
2.232,2.532,11.233,27.76,9.96,1.2723,10.03,2.47,2.79,0.0091,Burrow,90,4
4.552,2.522,22.728,57.16,21.17,1.562,6.869,2.51,2.7,0.02,Matrix,0,0
2.308,2.536,11.652,28.72,10.68,0.9736,8.3514,2.46,2.69,0.0119,Burrow,25,2
1.95,2.528,9.783,24.59,9.27,0.5152,5.2636,2.51,2.65,0.0091,Matrix,0,0
3.53,2.538,17.85,45.24,16.87,0.9766,5.4682,2.53,2.68,0.0133,Burrow,2,1
2.388,2.524,11.942,29.73,11.24,0.7022,5.8771,2.49,2.65,0.0561,Burrow,60,3
1.716,2.518,8.541,20.49,8.01,0.5324,6.2307,2.4,2.56,0.3674,Burrow,20,2
3.708,2.528,18.602,44.53,17.37,1.2316,6.6175,2.39,2.56,0.455,Burrow,90,4
1.676,2.514,8.315,19.75,7.56,0.7533,9.0549,2.38,2.61,0.9349,Burrow,100,6
1.334,2.534,6.724,15.66,6.6,0.1201,1.7847,2.33,2.37,0.4474,Matrix,0,0
3.908,2.52,19.482,47.22,17.61,1.8669,9.578,2.42,2.68,0.2947,Burrow,90,4
1.598,2.504,7.865,18.82,7.38,0.4836,6.145,2.39,2.55,0.2886,Matrix,0,0
1.725,2.511,8.543,20.55,8.68,0.7266,8.505,2.41,2.37,0.501,Burrow,35,3
1.927,2.501,9.468,22.65,9.05,0.7311,7.7219,2.39,2.5,0.5309,Burrow,98,5
3.565,2.515,17.713,41.33,15.81,1.5344,8.663,2.33,2.61,0.2944,Burrow,4,1
4.968,2.552,25.399,63.17,23.47,1.9337,7.6094,2.49,2.69,0.0599,Matrix,0,0
4.996,2.538,25.262,62.95,23.55,1.7086,6.7599,2.49,2.67,0.07,Burrow,99,5
4.986,2.526,24.974,63.1,23.64,1.3318,5.3299,2.53,2.67,0.0473,Burrow,40,3
4.968,2.528,24.923,62.73,23.58,1.3471,5.4024,2.52,2.66,0.0583,Burrow,4,1
2.325,2.378,10.33,24.36,9.025,1.301,12.6,2.36,2.7,0.296,Burrow,96,5
2.561,2.349,11.09,26.15,9.64,1.017,9.16,2.36,2.71,0.328,Burrow,25,2
2.97,2.345,12.83,30.31,11.2,1.625,12.67,2.36,2.71,0.36,Burrow,90,4
2.39,2.371,10.55,25.02,9.321,1.03,9.76,2.37,2.7,0.246,Matrix,0,0
1.94,2.389,8.69,20.15,7.53,1.02,11.73,2.31,2.7,0.313,Matrix,0,0
2.344,2.362,10.27,24.21,9.11,1.264,12.31,2.36,2.7,0.274,Burrow,90,4
2.437,2.382,10.86,25.62,9.496,1.364,12.56,2.36,2.7,0.295,Burrow,100,6
2.911,2.353,12.66,30.11,10.652,1.353,10.69,2.38,2.83,0.301,Burrow,3,1
2.661,2.398,12.02,28.38,10.53,1.49,12.4,2.36,2.7,0.306,Matrix,0,0
2.763,2.386,12.35,29.32,9.509,2.845,23.03,2.37,3.08,0.303,Burrow,100,6
1.958,2.351,8.5,20.1,7.58,1.015,11.94,2.36,2.7,0.273,Burrow,94,5
2.331,2.382,10.39,24.41,9.018,1.37,13.19,2.35,2.71,0.243,Burrow,60,3
1.956,2.374,8.658,20.59,7.632,1.026,11.85,2.38,2.7,0.514,Burrow,100,6
2.683,2.366,11.8,27.94,10.22,1.573,13.33,2.37,2.73,0.529,Burrow,90,4
2.254,2.381,10.04,23.63,8.763,1.273,12.68,2.35,2.7,0.544,Burrow,50,3
3.385,2.382,15.09,35.92,13.25,1.832,12.15,2.38,2.71,0.167,Burrow,90,4
3.205,2.377,14.22,33.94,12.5,1.771,12.45,2.39,2.71,0.133,Burrow,4,1
3.38,2.372,14.94,35.6,13.13,1.811,12.13,2.38,2.71,0.191,Burrow,25,2
2.341,2.378,10.4,24.8,9.17,1.235,11.88,2.38,2.7,0.168,Burrow,90,4
2.322,2.38,14.78,35.22,12.95,1.959,13.25,2.38,2.71,0.179,Burrow,40,3
2.302,2.381,10.25,24.42,9.01,1.201,11.72,2.38,2.71,0.139,Matrix,0,0
3.224,2.375,14.28,34.44,12.73,1.55,10.85,2.41,2.71,0.169,Burrow,100,6
2.539,2.381,11.31,26.93,10.05,1.296,11.46,2.38,2.7,0.153,Burrow,60,3
3.853,2.37,12.59,30.03,11.11,1.472,11.7,2.39,2.7,0.137,Matrix,0,0
2.76,2.385,12.33,29.55,10.95,1.379,11.18,2.4,2.7,0.152,Burrow,91,5
2.616,2.384,11.68,27.78,10.32,1.376,11.78,2.37,2.7,0.147,Burrow,20,2
2.472,2.382,11.02,26.29,9.746,1.27,11.53,2.39,2.7,0.141,Burrow,4,1
0.946,2.462,4.4721,11.19,3.9276,0.5445,12.091,2.8491,2.5022,0.0111,Burrow,90,4
1.086,2.454,5.1255,12.95,4.8373,0.2883,7.511,2.6771,2.5266,0.0071,Matrix,0,0
0.972,2.452,4.6325,11.43,4.2013,0.4313,9.396,2.7206,2.4673,0.0077,Burrow,100,6
1.142,2.464,5.5048,13.64,4.8098,0.695,12.762,2.8359,2.4779,0.0089,Burrow,98,5
1.722,2.478,8.3005,19.33,6.1368,2.1638,26.055,3.1499,2.3288,0.0538,Burrow,80,4
1.664,2.466,7.9434,18.89,5.7114,2.232,28.085,3.3074,2.3781,0.0477,Burrow,4,1
1.528,2.452,7.2116,17.23,5.2809,1.9307,26.759,3.2627,2.3892,0.045,Matrix,0,0
1.478,2.464,7.0441,16.72,5.0877,1.9564,27.759,3.2863,2.3736,0.0438,Burrow,30,2
1.451,2.453,6.8601,16.43,5.0473,1.9302,28.117,3.2552,2.395,0.0478,Burrow,100,6
1.455,2.454,6.8846,16.51,5.0516,1.9553,28.398,3.2683,2.3981,0.0482,Burrow,91,5
3.424,2.454,16.1865,32.41,11.7102,4.4763,27.64,2.7677,2.0023,6.0245,Burrow,60,3
4.222,2.452,19.9264,40.01,14.5511,5.3753,26.962,2.7496,2.0079,7.0097,Burrow,30,2
3.523,2.451,16.6289,33.35,12.0488,4.6057,27.656,2.7679,2.0055,6.028,Burrow,96,5
3.512,2.452,16.5905,33.24,12.0112,4.5914,27.675,2.7674,2.0036,6.0321,Matrix,0,0
2.552,2.462,12.143,30.06,10.7187,1.4243,11.723,2.8044,2.4755,1.1782,Burrow,100,6
3.422,2.464,16.3091,40.34,14.6921,1.6171,9.901,2.7457,2.4735,0.572,Matrix,0,0
2.816,2.442,13.194,33.17,11.8275,1.5716,11.8,2.8045,2.514,1.186,Burrow,98,5
2.515,2.461,11.968,29.62,10.5624,1.4037,11.658,2.8043,2.4749,1.172,Burrow,4,1
