,mean_test_score,param_fs__k,param_fs__score_func,param_svr__C,param_svr__kernel
52,-0.16782612741522038,5,<function mutual_info_regression at 0x000001E067DC34C0>,10,poly
87,-0.1751201277444896,8,<function mutual_info_regression at 0x000001E067DC34C0>,10,rbf
75,-0.17572917610631372,7,<function mutual_info_regression at 0x000001E067DC34C0>,10,rbf
51,-0.17659178651244642,5,<function mutual_info_regression at 0x000001E067DC34C0>,10,rbf
63,-0.17698747876781717,6,<function mutual_info_regression at 0x000001E067DC34C0>,10,rbf
49,-0.1786031371192179,5,<function mutual_info_regression at 0x000001E067DC34C0>,1,poly
39,-0.1822152949935362,4,<function mutual_info_regression at 0x000001E067DC34C0>,10,rbf
61,-0.1859478745147805,6,<function mutual_info_regression at 0x000001E067DC34C0>,1,poly
69,-0.1885463965043903,6,<function f_regression at 0x000001E067DE9620>,10,rbf
57,-0.19112220496231208,5,<function f_regression at 0x000001E067DE9620>,10,rbf
88,-0.19141910444169583,8,<function mutual_info_regression at 0x000001E067DC34C0>,10,poly
73,-0.19333374865156827,7,<function mutual_info_regression at 0x000001E067DC34C0>,1,poly
99,-0.19467630356074844,9,<function mutual_info_regression at 0x000001E067DC34C0>,10,rbf
64,-0.19538884643209412,6,<function mutual_info_regression at 0x000001E067DC34C0>,10,poly
76,-0.1961238959477198,7,<function mutual_info_regression at 0x000001E067DC34C0>,10,poly
100,-0.19705461671156582,9,<function mutual_info_regression at 0x000001E067DC34C0>,10,poly
85,-0.19940970835493887,8,<function mutual_info_regression at 0x000001E067DC34C0>,1,poly
45,-0.20065659771062258,4,<function f_regression at 0x000001E067DE9620>,10,rbf
70,-0.207759070230041,6,<function f_regression at 0x000001E067DE9620>,10,poly
111,-0.20781851834622533,10,<function mutual_info_regression at 0x000001E067DC34C0>,10,rbf
97,-0.208564261521296,9,<function mutual_info_regression at 0x000001E067DC34C0>,1,poly
103,-0.20940605330993828,9,<function f_regression at 0x000001E067DE9620>,1,poly
27,-0.21047182415656462,3,<function mutual_info_regression at 0x000001E067DC34C0>,10,rbf
33,-0.21184458458698935,3,<function f_regression at 0x000001E067DE9620>,10,rbf
67,-0.21306958977844698,6,<function f_regression at 0x000001E067DE9620>,1,poly
37,-0.21953048629455854,4,<function mutual_info_regression at 0x000001E067DC34C0>,1,poly
115,-0.22669377621323122,10,<function f_regression at 0x000001E067DE9620>,1,poly
31,-0.23052874725369824,3,<function f_regression at 0x000001E067DE9620>,1,poly
58,-0.23178960978007884,5,<function f_regression at 0x000001E067DE9620>,10,poly
40,-0.2352069092122811,4,<function mutual_info_regression at 0x000001E067DC34C0>,10,poly
91,-0.23574180796414418,8,<function f_regression at 0x000001E067DE9620>,1,poly
21,-0.23779384336034584,2,<function f_regression at 0x000001E067DE9620>,10,rbf
34,-0.23973985930402134,3,<function f_regression at 0x000001E067DE9620>,10,poly
55,-0.24189441001117915,5,<function f_regression at 0x000001E067DE9620>,1,poly
127,-0.24322381109428326,11,<function f_regression at 0x000001E067DE9620>,1,poly
117,-0.24845659385022292,10,<function f_regression at 0x000001E067DE9620>,10,rbf
81,-0.2531001926911673,7,<function f_regression at 0x000001E067DE9620>,10,rbf
105,-0.2557999881331637,9,<function f_regression at 0x000001E067DE9620>,10,rbf
93,-0.258700480461789,8,<function f_regression at 0x000001E067DE9620>,10,rbf
109,-0.26386467974670935,10,<function mutual_info_regression at 0x000001E067DC34C0>,1,poly
133,-0.2646638062586678,12,<function mutual_info_regression at 0x000001E067DC34C0>,1,poly
139,-0.2646638062586678,12,<function f_regression at 0x000001E067DE9620>,1,poly
9,-0.26518587197163274,1,<function f_regression at 0x000001E067DE9620>,10,rbf
43,-0.2681387860571712,4,<function f_regression at 0x000001E067DE9620>,1,poly
121,-0.27191338494211437,11,<function mutual_info_regression at 0x000001E067DC34C0>,1,poly
123,-0.2733484620204529,11,<function mutual_info_regression at 0x000001E067DC34C0>,10,rbf
79,-0.27604262366955507,7,<function f_regression at 0x000001E067DE9620>,1,poly
118,-0.2839089449339718,10,<function f_regression at 0x000001E067DE9620>,10,poly
129,-0.2839236776119446,11,<function f_regression at 0x000001E067DE9620>,10,rbf
46,-0.2958516955944113,4,<function f_regression at 0x000001E067DE9620>,10,poly
19,-0.2961467155986537,2,<function f_regression at 0x000001E067DE9620>,1,poly
22,-0.2961911150636177,2,<function f_regression at 0x000001E067DE9620>,10,poly
112,-0.29921122362460517,10,<function mutual_info_regression at 0x000001E067DC34C0>,10,poly
135,-0.3007481897758355,12,<function mutual_info_regression at 0x000001E067DC34C0>,10,rbf
141,-0.3007481897758355,12,<function f_regression at 0x000001E067DE9620>,10,rbf
25,-0.3059579604432218,3,<function mutual_info_regression at 0x000001E067DC34C0>,1,poly
130,-0.3077640742958511,11,<function f_regression at 0x000001E067DE9620>,10,poly
124,-0.3119466695296197,11,<function mutual_info_regression at 0x000001E067DC34C0>,10,poly
106,-0.3126901556635443,9,<function f_regression at 0x000001E067DE9620>,10,poly
10,-0.3219752085348184,1,<function f_regression at 0x000001E067DE9620>,10,poly
7,-0.3220033576612732,1,<function f_regression at 0x000001E067DE9620>,1,poly
142,-0.32317544882089383,12,<function f_regression at 0x000001E067DE9620>,10,poly
136,-0.32317544882089383,12,<function mutual_info_regression at 0x000001E067DC34C0>,10,poly
82,-0.3349512891702964,7,<function f_regression at 0x000001E067DE9620>,10,poly
28,-0.3401892917583301,3,<function mutual_info_regression at 0x000001E067DC34C0>,10,poly
66,-0.34043751720990956,6,<function f_regression at 0x000001E067DE9620>,1,rbf
94,-0.34151642387609293,8,<function f_regression at 0x000001E067DE9620>,10,poly
84,-0.3415896850675903,8,<function mutual_info_regression at 0x000001E067DC34C0>,1,rbf
72,-0.3426886154744348,7,<function mutual_info_regression at 0x000001E067DC34C0>,1,rbf
54,-0.34391677168098933,5,<function f_regression at 0x000001E067DE9620>,1,rbf
60,-0.34429641223516927,6,<function mutual_info_regression at 0x000001E067DC34C0>,1,rbf
83,-0.34439539274911957,7,<function f_regression at 0x000001E067DE9620>,10,linear
95,-0.34636328395498905,8,<function f_regression at 0x000001E067DE9620>,10,linear
107,-0.3488827141253176,9,<function f_regression at 0x000001E067DE9620>,10,linear
42,-0.3497452559631137,4,<function f_regression at 0x000001E067DE9620>,1,rbf
71,-0.3514037434414731,6,<function f_regression at 0x000001E067DE9620>,10,linear
96,-0.3524754534749568,9,<function mutual_info_regression at 0x000001E067DC34C0>,1,rbf
113,-0.3530489962581463,10,<function mutual_info_regression at 0x000001E067DC34C0>,10,linear
48,-0.35306525807118366,5,<function mutual_info_regression at 0x000001E067DC34C0>,1,rbf
125,-0.35332862955480165,11,<function mutual_info_regression at 0x000001E067DC34C0>,10,linear
101,-0.35495096793445546,9,<function mutual_info_regression at 0x000001E067DC34C0>,10,linear
119,-0.3582284702711567,10,<function f_regression at 0x000001E067DE9620>,10,linear
30,-0.3608170766583838,3,<function f_regression at 0x000001E067DE9620>,1,rbf
137,-0.3647739649917105,12,<function mutual_info_regression at 0x000001E067DC34C0>,10,linear
143,-0.3647739649917105,12,<function f_regression at 0x000001E067DE9620>,10,linear
89,-0.3654563790167867,8,<function mutual_info_regression at 0x000001E067DC34C0>,10,linear
77,-0.36561056642045175,7,<function mutual_info_regression at 0x000001E067DC34C0>,10,linear
65,-0.365928686422461,6,<function mutual_info_regression at 0x000001E067DC34C0>,10,linear
59,-0.3666721476993577,5,<function f_regression at 0x000001E067DE9620>,10,linear
131,-0.36667569408433137,11,<function f_regression at 0x000001E067DE9620>,10,linear
108,-0.3796607978259473,10,<function mutual_info_regression at 0x000001E067DC34C0>,1,rbf
36,-0.38009339383429236,4,<function mutual_info_regression at 0x000001E067DC34C0>,1,rbf
12,-0.39161113538259185,2,<function mutual_info_regression at 0x000001E067DC34C0>,1,rbf
18,-0.39217911400884536,2,<function f_regression at 0x000001E067DE9620>,1,rbf
6,-0.3953302838097397,1,<function f_regression at 0x000001E067DE9620>,1,rbf
24,-0.39747835741046755,3,<function mutual_info_regression at 0x000001E067DC34C0>,1,rbf
98,-0.40215204840072855,9,<function mutual_info_regression at 0x000001E067DC34C0>,1,linear
78,-0.4032726158342118,7,<function f_regression at 0x000001E067DE9620>,1,rbf
86,-0.4039219935032222,8,<function mutual_info_regression at 0x000001E067DC34C0>,1,linear
62,-0.40446753201776164,6,<function mutual_info_regression at 0x000001E067DC34C0>,1,linear
104,-0.40556856628732135,9,<function f_regression at 0x000001E067DE9620>,1,linear
74,-0.4056049400313298,7,<function mutual_info_regression at 0x000001E067DC34C0>,1,linear
92,-0.4063522416538958,8,<function f_regression at 0x000001E067DE9620>,1,linear
110,-0.40742498556254214,10,<function mutual_info_regression at 0x000001E067DC34C0>,1,linear
116,-0.40772497308352024,10,<function f_regression at 0x000001E067DE9620>,1,linear
80,-0.40852194330139646,7,<function f_regression at 0x000001E067DE9620>,1,linear
47,-0.4087381714300255,4,<function f_regression at 0x000001E067DE9620>,10,linear
122,-0.40891426788756535,11,<function mutual_info_regression at 0x000001E067DC34C0>,1,linear
0,-0.40925157800004663,1,<function mutual_info_regression at 0x000001E067DC34C0>,1,rbf
68,-0.4092814589412762,6,<function f_regression at 0x000001E067DE9620>,1,linear
128,-0.409489507238803,11,<function f_regression at 0x000001E067DE9620>,1,linear
140,-0.4100204570172917,12,<function f_regression at 0x000001E067DE9620>,1,linear
134,-0.4100204570172917,12,<function mutual_info_regression at 0x000001E067DC34C0>,1,linear
90,-0.41005660946800926,8,<function f_regression at 0x000001E067DE9620>,1,rbf
120,-0.41322782432122773,11,<function mutual_info_regression at 0x000001E067DC34C0>,1,rbf
50,-0.42005632546753063,5,<function mutual_info_regression at 0x000001E067DC34C0>,1,linear
15,-0.4205285976907264,2,<function mutual_info_regression at 0x000001E067DC34C0>,10,rbf
3,-0.4244355778344464,1,<function mutual_info_regression at 0x000001E067DC34C0>,10,rbf
102,-0.42614574845996256,9,<function f_regression at 0x000001E067DE9620>,1,rbf
114,-0.42689609650667115,10,<function f_regression at 0x000001E067DE9620>,1,rbf
56,-0.43052998651897434,5,<function f_regression at 0x000001E067DE9620>,1,linear
126,-0.4351535421282969,11,<function f_regression at 0x000001E067DE9620>,1,rbf
132,-0.43861243335015637,12,<function mutual_info_regression at 0x000001E067DC34C0>,1,rbf
138,-0.43861243335015637,12,<function f_regression at 0x000001E067DE9620>,1,rbf
44,-0.44176014155470034,4,<function f_regression at 0x000001E067DE9620>,1,linear
38,-0.4428797937468098,4,<function mutual_info_regression at 0x000001E067DC34C0>,1,linear
20,-0.4531725190117877,2,<function f_regression at 0x000001E067DE9620>,1,linear
23,-0.4544414546412794,2,<function f_regression at 0x000001E067DE9620>,10,linear
16,-0.45854442179403926,2,<function mutual_info_regression at 0x000001E067DC34C0>,10,poly
53,-0.46047154367246373,5,<function mutual_info_regression at 0x000001E067DC34C0>,10,linear
32,-0.4609446449402582,3,<function f_regression at 0x000001E067DE9620>,1,linear
13,-0.46300402482360586,2,<function mutual_info_regression at 0x000001E067DC34C0>,1,poly
35,-0.46499830880874315,3,<function f_regression at 0x000001E067DE9620>,10,linear
41,-0.46986850206634034,4,<function mutual_info_regression at 0x000001E067DC34C0>,10,linear
26,-0.47756404667075014,3,<function mutual_info_regression at 0x000001E067DC34C0>,1,linear
17,-0.4791774556604035,2,<function mutual_info_regression at 0x000001E067DC34C0>,10,linear
14,-0.4798974835805135,2,<function mutual_info_regression at 0x000001E067DC34C0>,1,linear
8,-0.48321208961470097,1,<function f_regression at 0x000001E067DE9620>,1,linear
29,-0.4913555600684451,3,<function mutual_info_regression at 0x000001E067DC34C0>,10,linear
2,-0.4947757008678148,1,<function mutual_info_regression at 0x000001E067DC34C0>,1,linear
5,-0.49521161379870515,1,<function mutual_info_regression at 0x000001E067DC34C0>,10,linear
4,-0.49830375849348874,1,<function mutual_info_regression at 0x000001E067DC34C0>,10,poly
1,-0.49832716253636455,1,<function mutual_info_regression at 0x000001E067DC34C0>,1,poly
11,-0.5001557904704151,1,<function f_regression at 0x000001E067DE9620>,10,linear
