,True Perm,SVR Perm,KNR Perm,DTR Perm,RFR Perm,LNR Perm
4,0.0241,0.006862083570892352,0.0835377881770531,0.0119,0.09408399999999999,0.30986247045940907
35,0.313,0.2147994981596053,0.35661402681083215,0.139,0.3677679999999999,-0.1115497739133402
10,0.021,-0.12236261271428539,0.020013332876426808,0.0123,0.030562000000000006,0.01872248942859356
0,0.016,0.03610205625034091,0.036141474071368376,0.036,0.04255200000000001,0.08600368648450596
45,0.544,0.2661419339595792,0.27536380217934703,0.243,0.26592,0.16015619584497243
47,0.133,0.17926520954727998,0.1764014372163475,0.169,0.18228000000000003,0.6281918115526959
65,0.0438,-0.6462803612177073,0.046762359588021815,0.0477,0.321436,-0.0777632509879731
53,0.153,0.22220833387560468,0.14817934930166052,0.139,0.17250000000000004,0.25249285817788536
50,0.179,0.1842417691183993,0.2967142092127301,0.306,0.22155399999999997,1.071267392214127
28,0.07,0.04344061741178784,0.05606299335688191,0.0599,0.10256599999999998,0.3611269998053033
67,0.0482,-0.08385676762616079,0.04721863388996578,0.0478,0.3168979999999999,-0.15491826484430726
70,6.028,6.111783126730435,6.047726262019189,6.0245,6.016554000000001,5.802858711718049
18,0.3674,0.3138448303387502,0.4842258654831021,0.4474,0.442414,0.31100963630552325
12,0.0091,0.0967798293443547,0.025652116897614444,0.0123,0.02765,0.2713022828435423
58,0.0111,-0.3190646875200134,0.008179112082281705,0.0077,0.24224399999999993,-0.1341854522742998
33,0.36,0.33078004714664466,0.33960040577038525,0.301,0.3142599999999999,0.5381897908292657
