,True Por,SV Por,KNR Por,DTR Por,RF Por,LN Por
4,7.8109,7.585032695141292,6.912380996860843,6.869,7.105395500000007,8.295172074529685
35,11.73,12.625975665395815,10.362652162201936,11.85,11.951760000000005,9.802731058655986
10,6.5851,6.549160902319448,6.163184788694191,6.2435,7.197825500000009,6.078307420306617
0,6.5122,6.518898079662188,5.48478490077216,5.8771,5.674139,7.1269423474848494
45,12.68,12.662190220137571,12.484604872399121,13.33,12.6108,11.09856577968115
47,12.45,12.245821772836909,12.067717104713697,10.85,11.94237,13.955495056055717
65,27.759,27.435228520169865,27.522711901916246,26.759,25.478750000000023,26.463588905758627
53,11.46,11.567732044533763,11.73491011304387,11.72,11.720519999999997,11.81869332788816
50,13.25,12.936738599901059,11.833971655303216,12.13,20.459748000000005,14.961105438724234
28,6.7599,6.71004160161038,6.826617708316473,5.8771,6.218154999999999,6.480723337778127
67,28.398,27.02983996804817,27.462767312473897,26.055,25.82644000000002,26.64954993561576
70,27.656,27.593710684117877,27.65868686897048,27.675,27.36577999999999,26.686356392230152
18,6.2307,6.713263794732981,6.537491253224251,6.6175,6.681467999999996,5.674908143736388
12,10.03,10.941399418301543,8.859395491903966,8.0784,8.826747000000012,11.106400887202025
58,12.091,12.363585611331919,11.16763786249135,12.762,11.464288999999981,13.17953722152296
33,12.67,12.380606831866373,12.718140446247048,13.33,11.200910000000007,13.157122796631933
