,mean_test_score,param_fs__k,param_rfr__criterion,param_rfr__n_estimators
48,-0.1548087999999999,7,squared_error,50
50,-0.15949489999999988,7,friedman_mse,50
54,-0.16131419999999994,7,poisson,50
49,-0.16354798333333323,7,squared_error,100
64,-0.16502773333333326,9,squared_error,50
65,-0.16682796666666666,9,squared_error,100
51,-0.1670328333333332,7,friedman_mse,100
55,-0.16764479999999998,7,poisson,100
72,-0.16987839999999987,10,squared_error,50
74,-0.1714527999999999,10,friedman_mse,50
40,-0.17199626666666656,6,squared_error,50
67,-0.17324113333333327,9,friedman_mse,100
66,-0.17335619999999996,9,friedman_mse,50
32,-0.1734137999999999,5,squared_error,50
71,-0.17440196666666663,9,poisson,100
42,-0.17478346666666653,6,friedman_mse,50
78,-0.1748208999999999,10,poisson,50
57,-0.17495704999999992,8,squared_error,100
94,-0.17499483333333316,12,poisson,50
73,-0.17544249999999995,10,squared_error,100
56,-0.17547836666666655,8,squared_error,50
58,-0.1756874333333332,8,friedman_mse,50
81,-0.1761670166666666,11,squared_error,100
70,-0.1767010999999999,9,poisson,50
80,-0.17696926666666654,11,squared_error,50
75,-0.17708076666666664,10,friedman_mse,100
62,-0.17711463333333327,8,poisson,50
59,-0.17731086666666662,8,friedman_mse,100
95,-0.17778018333333323,12,poisson,100
63,-0.1779831166666666,8,poisson,100
34,-0.17803136666666658,5,friedman_mse,50
83,-0.17852423333333323,11,friedman_mse,100
88,-0.1795778333333332,12,squared_error,50
82,-0.17995549999999988,11,friedman_mse,50
46,-0.18007836666666655,6,poisson,50
87,-0.18068209999999998,11,poisson,100
89,-0.18073321666666656,12,squared_error,100
86,-0.1809644333333332,11,poisson,50
41,-0.18184343333333322,6,squared_error,100
79,-0.18246944999999987,10,poisson,100
90,-0.1835078666666666,12,friedman_mse,50
47,-0.1844379999999999,6,poisson,100
44,-0.1851017499999999,6,absolute_error,50
38,-0.18529633333333323,5,poisson,50
43,-0.18541723333333326,6,friedman_mse,100
91,-0.18656523333333327,12,friedman_mse,100
33,-0.1888294999999999,5,squared_error,100
45,-0.19012934999999984,6,absolute_error,100
53,-0.19022074166666658,7,absolute_error,100
13,-0.1906158249999998,2,absolute_error,100
39,-0.19231356666666655,5,poisson,100
35,-0.19323706666666657,5,friedman_mse,100
24,-0.19352966666666657,4,squared_error,50
30,-0.19466043333333316,4,poisson,50
61,-0.19501700833333327,8,absolute_error,100
52,-0.1968047166666666,7,absolute_error,50
60,-0.19695438333333323,8,absolute_error,50
69,-0.19741870833333328,9,absolute_error,100
12,-0.19759391666666656,2,absolute_error,50
76,-0.1988667166666666,10,absolute_error,50
26,-0.19896006666666657,4,friedman_mse,50
36,-0.19934774999999988,5,absolute_error,50
92,-0.19966309999999987,12,absolute_error,50
31,-0.2006495666666665,4,poisson,100
25,-0.2010175999999999,4,squared_error,100
37,-0.20232480833333324,5,absolute_error,100
68,-0.20357054999999993,9,absolute_error,50
84,-0.20368893333333324,11,absolute_error,50
93,-0.20373379999999996,12,absolute_error,100
15,-0.20397506666666643,2,poisson,100
27,-0.20547273333333327,4,friedman_mse,100
22,-0.20705289999999996,3,poisson,50
18,-0.20790093333333326,3,friedman_mse,50
9,-0.20809934999999982,2,squared_error,100
77,-0.20828120833333325,10,absolute_error,100
23,-0.20866353333333318,3,poisson,100
11,-0.20899291666666647,2,friedman_mse,100
16,-0.20941393333333327,3,squared_error,50
14,-0.20963146666666654,2,poisson,50
85,-0.21041896666666662,11,absolute_error,100
28,-0.21060191666666653,4,absolute_error,50
8,-0.21172029999999986,2,squared_error,50
10,-0.21423603333333321,2,friedman_mse,50
29,-0.2146526583333332,4,absolute_error,100
17,-0.21531763333333323,3,squared_error,100
19,-0.2156006666666666,3,friedman_mse,100
21,-0.22456621666666657,3,absolute_error,100
20,-0.22493019999999997,3,absolute_error,50
5,-0.22737686666666654,1,absolute_error,100
3,-0.22956689999999988,1,friedman_mse,100
7,-0.22956689999999988,1,poisson,100
1,-0.22956689999999988,1,squared_error,100
4,-0.23484713333333315,1,absolute_error,50
6,-0.23595606666666652,1,poisson,50
2,-0.23595606666666652,1,friedman_mse,50
0,-0.23595606666666652,1,squared_error,50
