,mean_test_score,param_fs__k,param_fs__score_func
12,-0.9600715723833397,7,<function f_regression at 0x000002C1AEAC9DA0>
14,-0.9691294459337272,8,<function f_regression at 0x000002C1AEAC9DA0>
13,-0.9868085506682732,7,<function mutual_info_regression at 0x000002C1AEA9FC40>
15,-0.988564542030613,8,<function mutual_info_regression at 0x000002C1AEA9FC40>
10,-1.0006078129790383,6,<function f_regression at 0x000002C1AEAC9DA0>
16,-1.015498090348189,9,<function f_regression at 0x000002C1AEAC9DA0>
17,-1.0297790583961048,9,<function mutual_info_regression at 0x000002C1AEA9FC40>
20,-1.0378421374512508,11,<function f_regression at 0x000002C1AEAC9DA0>
21,-1.0439233470044669,11,<function mutual_info_regression at 0x000002C1AEA9FC40>
18,-1.0440798488851026,10,<function f_regression at 0x000002C1AEAC9DA0>
19,-1.0444839362715428,10,<function mutual_info_regression at 0x000002C1AEA9FC40>
22,-1.288045821762501,12,<function f_regression at 0x000002C1AEAC9DA0>
23,-1.288045821762501,12,<function mutual_info_regression at 0x000002C1AEA9FC40>
11,-1.3883874491917214,6,<function mutual_info_regression at 0x000002C1AEA9FC40>
8,-1.7752760734548505,5,<function f_regression at 0x000002C1AEAC9DA0>
9,-2.0243524655103338,5,<function mutual_info_regression at 0x000002C1AEA9FC40>
7,-2.0282545914433534,4,<function mutual_info_regression at 0x000002C1AEA9FC40>
4,-2.7077992989515574,3,<function f_regression at 0x000002C1AEAC9DA0>
6,-2.7562919068011817,4,<function f_regression at 0x000002C1AEAC9DA0>
2,-2.799920663615282,2,<function f_regression at 0x000002C1AEAC9DA0>
5,-2.8666100514164605,3,<function mutual_info_regression at 0x000002C1AEA9FC40>
0,-2.8922326075806524,1,<function f_regression at 0x000002C1AEAC9DA0>
3,-3.5360154533604415,2,<function mutual_info_regression at 0x000002C1AEA9FC40>
1,-4.256880129637432,1,<function mutual_info_regression at 0x000002C1AEA9FC40>
